지역,구군,지역코드,주소,중심점X,중심점Y,경도,위도,건축년도,건물연령,연령대,노후등급,노후점수,겹침비율,홍수등급,홍수점수,산사태거리,산사태등급,산사태점수,노후홍수점수,노후홍수등급,노후홍수코드,홍수산사태점수,홍수산사태등급,홍수산사태코드,노후산사태점수,노후산사태등급,노후산사태코드,종합점수,종합등급,위험코드
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 중노송동 1 일반 581-6 10002 1 일반건축물,213522.7069929728,358688.4484071691,213522.7069929728,358688.4484071691,1996.0,30.0,30-50년,노후,5,0.0,없음,0,1167.2617529928752,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 남노송동 1 일반 171-59 10003 1 일반건축물,214159.08281611418,358113.98105863173,214159.08281611418,358113.98105863173,1988.0,38.0,30-50년,노후,5,0.0,없음,0,410.36569057366387,관심,1,5,주의,C,1,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 중노송동 1 일반 253-16 10009 1 일반건축물,214187.60290248177,358491.69384707464,214187.60290248177,358491.69384707464,1969.0,57.0,50-100년,고령,6,0.0,없음,0,503.5871324805669,안전,0,6,주의,C,0,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 삼천동1가 1 일반 666-12 10012 1 일반건축물,211123.94732919242,355287.3577818746,211123.94732919242,355287.3577818746,1993.0,33.0,30-50년,노후,5,0.0,없음,0,487.5448697299562,관심,1,5,주의,C,1,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 중화산동2가 1 일반 626-1 10013 1 일반건축물,210974.7255942306,357615.19364792516,210974.7255942306,357615.19364792516,1993.0,33.0,30-50년,노후,5,0.0,없음,0,421.90046219457975,관심,1,5,주의,C,1,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 중화산동2가 1 일반 530-1 10014 1 일반건축물,210920.11031524572,357299.9406678241,210920.11031524572,357299.9406678241,1991.0,35.0,30-50년,노후,5,0.0,없음,0,101.9803902718557,주의,2,5,주의,C,2,안전,A,7,경고,D,7,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 삼천동1가 1 일반 670-2 10015 1 일반건축물,210618.12125269976,355200.558049887,210618.12125269976,355200.558049887,1995.0,31.0,30-50년,노후,5,0.0,없음,0,787.1467461661771,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 효자동1가 1 일반 180-18 10016 1 일반건축물,211321.54420788403,356462.9660427496,211321.54420788403,356462.9660427496,1982.0,44.0,30-50년,노후,5,0.0,없음,0,737.5635565834309,안전,0,5,주의,C,0,안전,A,5,주의,C,5,관심,B
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 평화동2가 1 일반 364-6 100179284 1 일반건축물,211705.2640900041,354136.15848392225,211705.2640900041,354136.15848392225,1996.0,30.0,30-50년,노후,5,0.0,없음,0,306.75723300355935,관심,1,5,주의,C,1,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 교동 1 일반 81-5 100180424 1 일반건축물,213790.12878357252,357355.02144822857,213790.12878357252,357355.02144822857,1969.0,57.0,50-100년,고령,6,0.0,없음,0,94.33981132056603,위험,3,6,주의,C,3,관심,B,9,위험,E,9,경고,D
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 중노송동 1 일반 253-58 100180427 1 일반건축물,214082.7559169951,358550.5460455491,214082.7559169951,358550.5460455491,1971.0,55.0,50-100년,고령,6,90.24310797381146,매우높음,4,600.0833275470999,안전,0,10,위험,E,4,관심,B,6,주의,C,10,경고,D
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 삼천동2가 1 일반 626-5 100180445 1 일반건축물,208893.68697146614,353514.07993683463,208893.68697146614,353514.07993683463,1996.0,30.0,30-50년,노후,5,0.0,없음,0,276.5863337187866,관심,1,5,주의,C,1,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 풍남동3가 1 일반 76-12 100180484 1 일반건축물,213734.41485611268,357677.436847901,213734.41485611268,357677.436847901,1977.0,49.0,30-50년,노후,5,0.0,없음,0,296.81644159311656,관심,1,5,주의,C,1,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 교동 1 일반 232-1 100180510 1 일반건축물,213628.68203597932,357147.1352157452,213628.68203597932,357147.1352157452,1982.0,44.0,30-50년,노후,5,0.0,없음,0,240.83189157584593,관심,1,5,주의,C,1,안전,A,6,주의,C,6,주의,C
전북,전주시 완산구,52111,전북특별자치도 전주시 완산구 동서학동 1 일반 849-107 100180826 1 일반건축물,214367.90972321844,356784.0154673968,214367.90972321844,356784.0154673968,1976.0,50.0,50-100년,고령,6,0.0,없음,0,198.49433241279206,주의,2,6,주의,C,2,안전,A,8,경고,D,8,주의,C
